# Configuracion:
# Concentracion g/m^3_=_19900.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_268068.8105612836
# 
Resultados:
# tau_s_=_(1.03+/-0.18)e-07
# dphi_rad_=_6.46+/-0.03
# SAR_W/g_=_246.67+/-59.26
# Hc_kA/m_=_7.03+/-0.85
# Mr_A/m_=_225.88+/-62.87
# Suceptibilidad_a_M=0_=_0.0353+/-0.0080
# t_hasta_1er_file_=_137.39
# Duracion_T_Fase_=_44.66
# 1er_file_T_Fase_=_265kHz_100dA_100Mss_NE5X078.txt
# last_file_T_Fase_=_265kHz_100dA_100Mss_NE5X157.txt

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
265kHz_100dA_100Mss_NE5X019.txt	140.6	-27.96	91.87	5.27	38460.00	460.45	2.680366e+05	7.387115e+00	6.392994e+00	111.69	6.545798e-08	4477	1.856e-02
265kHz_100dA_100Mss_NE5X020.txt	141.1	-27.22	124.61	6.89	38460.00	477.77	2.680366e+05	7.345241e+00	6.469350e+00	187.57	1.118226e-07	4477	1.944e-02
265kHz_100dA_100Mss_NE5X021.txt	141.61	-26.30	126.43	6.96	38460.00	479.95	2.680366e+05	7.339162e+00	6.474756e+00	192.79	1.151502e-07	4477	1.950e-02
265kHz_100dA_100Mss_NE5X022.txt	142.18	-25.19	80.42	4.54	38460.00	480.34	2.680366e+05	7.597600e+00	6.361988e+00	82.51	4.688294e-08	4477	1.879e-02
265kHz_100dA_100Mss_NE5X023.txt	142.67	-24.06	117.89	6.53	38460.00	469.14	2.680965e+05	7.315720e+00	6.454723e+00	172.32	1.028558e-07	4476	1.935e-02
265kHz_100dA_100Mss_NE5X024.txt	143.19	-22.84	162.57	8.82	38460.00	511.31	2.680965e+05	7.153242e+00	6.570106e+00	279.35	1.751818e-07	4476	1.959e-02
265kHz_100dA_100Mss_NE5X025.txt	143.71	-21.60	119.64	6.56	38460.00	475.32	2.680366e+05	7.376226e+00	6.458161e+00	177.16	1.049584e-07	4477	1.948e-02
265kHz_100dA_100Mss_NE5X026.txt	144.26	-20.30	129.12	7.08	38460.00	480.14	2.680366e+05	7.271430e+00	6.484150e+00	200.25	1.209482e-07	4477	1.946e-02
265kHz_100dA_100Mss_NE5X027.txt	144.78	-19.11	77.90	4.41	38460.00	473.70	2.680366e+05	7.496108e+00	6.358140e+00	77.45	4.458519e-08	4477	1.877e-02
265kHz_100dA_100Mss_NE5X028.txt	145.29	-17.73	98.89	5.52	38460.00	452.25	2.680965e+05	7.372882e+00	6.409351e+00	128.02	7.530590e-08	4476	1.917e-02
265kHz_100dA_100Mss_NE5X029.txt	145.79	-16.23	95.42	5.31	38460.00	456.61	2.680366e+05	7.413673e+00	6.400641e+00	119.86	7.005779e-08	4477	1.909e-02
265kHz_100dA_100Mss_NE5X030.txt	146.29	-15.34	98.98	5.47	38460.00	454.78	2.680366e+05	7.435221e+00	6.409371e+00	129.10	7.531846e-08	4477	1.926e-02
265kHz_100dA_100Mss_NE5X031.txt	146.89	-14.80	95.74	5.33	38460.00	452.95	2.680366e+05	7.372758e+00	6.402178e+00	120.75	7.098233e-08	4477	1.915e-02
