# Configuracion:
# Concentracion g/m^3_=_19900.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_136603.75751903417
# 
Resultados:
# tau_s_=_(1.26+/-0.17)e-07
# dphi_rad_=_6.39+/-0.01
# SAR_W/g_=_214.21+/-40.84
# Hc_kA/m_=_6.65+/-0.63
# Mr_A/m_=_368.21+/-88.51
# Suceptibilidad_a_M=0_=_0.0605+/-0.0117
# t_hasta_1er_file_=_339.31
# Duracion_T_Fase_=_60.92
# 1er_file_T_Fase_=_135kHz_150dA_100Mss_NE5X140.txt
# last_file_T_Fase_=_135kHz_150dA_100Mss_NE5X232.txt

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_150dA_100Mss_NE5X021.txt	350.18	-31.14	177.14	5.71	57041.50	953.82	1.365809e+05	7.884704e+00	6.363197e+00	131.42	9.342336e-08	4393	3.342e-02
135kHz_150dA_100Mss_NE5X022.txt	350.68	-30.69	197.73	6.34	57041.50	947.40	1.365809e+05	7.750265e+00	6.383393e+00	161.68	1.171464e-07	4393	3.363e-02
135kHz_150dA_100Mss_NE5X023.txt	351.19	-29.98	185.49	5.87	57041.50	946.55	1.365809e+05	7.840502e+00	6.367387e+00	137.51	9.833862e-08	4393	3.399e-02
135kHz_150dA_100Mss_NE5X024.txt	351.69	-28.88	199.51	6.30	57041.50	957.73	1.366120e+05	7.775287e+00	6.385192e+00	165.14	1.192634e-07	4392	3.439e-02
135kHz_150dA_100Mss_NE5X025.txt	352.18	-27.79	192.16	6.07	57041.50	934.00	1.365809e+05	7.701830e+00	6.377336e+00	150.99	1.100221e-07	4393	3.386e-02
135kHz_150dA_100Mss_NE5X026.txt	352.7	-26.59	186.24	5.92	57041.50	922.29	1.365809e+05	7.665425e+00	6.371478e+00	140.95	1.031398e-07	4393	3.359e-02
135kHz_150dA_100Mss_NE5X027.txt	353.21	-25.44	179.14	5.70	57041.50	932.03	1.365809e+05	7.717697e+00	6.363698e+00	129.44	9.401055e-08	4393	3.394e-02
135kHz_150dA_100Mss_NE5X028.txt	353.7	-24.36	184.21	5.81	57041.50	927.17	1.365809e+05	7.699358e+00	6.369622e+00	138.61	1.009600e-07	4393	3.398e-02
135kHz_150dA_100Mss_NE5X029.txt	354.19	-23.32	184.89	5.86	57041.50	920.94	1.365809e+05	7.621538e+00	6.371676e+00	140.46	1.033732e-07	4393	3.377e-02
135kHz_150dA_100Mss_NE5X030.txt	354.7	-22.30	193.08	6.06	57041.50	924.81	1.365809e+05	7.573800e+00	6.382144e+00	156.04	1.156775e-07	4393	3.414e-02
135kHz_150dA_100Mss_NE5X031.txt	355.2	-21.16	208.12	6.53	57041.50	942.34	1.365809e+05	7.534697e+00	6.400155e+00	183.37	1.369084e-07	4393	3.397e-02
135kHz_150dA_100Mss_NE5X032.txt	355.69	-19.84	200.43	6.28	57041.50	933.35	1.366120e+05	7.540970e+00	6.391210e+00	169.58	1.263536e-07	4392	3.416e-02
135kHz_150dA_100Mss_NE5X033.txt	356.21	-18.69	183.39	5.72	57041.50	920.88	1.366120e+05	7.638295e+00	6.369589e+00	137.49	1.009220e-07	4392	3.402e-02
135kHz_150dA_100Mss_NE5X034.txt	356.72	-17.92	196.16	6.17	57041.50	923.22	1.365809e+05	7.504748e+00	6.387875e+00	163.54	1.224236e-07	4393	3.400e-02
135kHz_150dA_100Mss_NE5X035.txt	357.22	-17.17	173.24	5.46	57041.50	908.93	1.365809e+05	7.531271e+00	6.360147e+00	120.75	8.984658e-08	4393	3.361e-02
135kHz_150dA_100Mss_NE5X036.txt	357.71	-16.44	171.32	5.40	57041.50	911.38	1.365809e+05	7.548547e+00	6.358284e+00	118.10	8.766410e-08	4393	3.369e-02
135kHz_150dA_100Mss_NE5X037.txt	358.3	-16.00	195.36	6.12	57041.50	923.40	1.366120e+05	7.480810e+00	6.387361e+00	162.26	1.218187e-07	4392	3.380e-02
135kHz_150dA_100Mss_NE5X038.txt	359.31	-15.60	188.25	5.87	57041.50	919.37	1.365809e+05	7.526939e+00	6.379118e+00	150.35	1.121168e-07	4393	3.384e-02
135kHz_150dA_100Mss_NE5X039.txt	359.82	-14.93	185.07	5.84	57041.50	912.49	1.366120e+05	7.494201e+00	6.376796e+00	146.11	1.093863e-07	4392	3.395e-02
135kHz_150dA_100Mss_NE5X040.txt	360.32	-14.35	193.43	5.99	57041.50	933.27	1.366120e+05	7.571842e+00	6.384565e+00	159.84	1.185271e-07	4392	3.441e-02
135kHz_150dA_100Mss_NE5X041.txt	360.84	-13.78	186.14	5.77	57041.50	914.49	1.365809e+05	7.500073e+00	6.378267e+00	148.48	1.111182e-07	4393	3.467e-02
135kHz_150dA_100Mss_NE5X042.txt	361.35	-13.21	186.16	5.82	57041.50	917.74	1.366120e+05	7.520618e+00	6.378099e+00	148.66	1.109191e-07	4392	3.418e-02
135kHz_150dA_100Mss_NE5X043.txt	361.86	-12.65	177.04	5.53	57041.50	902.96	1.365809e+05	7.511619e+00	6.367873e+00	132.50	9.890785e-08	4393	3.408e-02
135kHz_150dA_100Mss_NE5X044.txt	362.36	-12.00	188.68	5.84	57041.50	926.02	1.365809e+05	7.547652e+00	6.381317e+00	154.20	1.147036e-07	4393	3.460e-02
135kHz_150dA_100Mss_NE5X045.txt	362.88	-11.27	175.39	5.52	57041.50	901.13	1.365809e+05	7.493524e+00	6.366206e+00	129.58	9.695046e-08	4393	3.388e-02
135kHz_150dA_100Mss_NE5X046.txt	363.39	-10.75	173.93	5.32	57041.50	919.84	1.366120e+05	7.644899e+00	6.361363e+00	124.53	9.127336e-08	4392	3.489e-02
135kHz_150dA_100Mss_NE5X047.txt	363.95	-10.25	174.03	5.36	57041.50	907.08	1.366120e+05	7.527605e+00	6.362487e+00	124.38	9.258970e-08	4392	3.417e-02
135kHz_150dA_100Mss_NE5X048.txt	364.45	-9.84	194.61	5.94	57041.50	928.75	1.365809e+05	7.518235e+00	6.388297e+00	164.49	1.229220e-07	4393	3.482e-02
135kHz_150dA_100Mss_NE5X049.txt	364.98	-9.42	179.97	5.55	57041.50	912.03	1.365809e+05	7.534458e+00	6.371187e+00	138.09	1.027972e-07	4393	3.450e-02
135kHz_150dA_100Mss_NE5X050.txt	365.47	-9.07	194.40	5.93	57041.50	932.90	1.365809e+05	7.540946e+00	6.387031e+00	163.01	1.214280e-07	4393	3.445e-02
135kHz_150dA_100Mss_NE5X051.txt	366.01	-8.69	187.11	5.77	57041.50	916.12	1.366120e+05	7.500234e+00	6.379453e+00	150.37	1.125114e-07	4392	3.438e-02
135kHz_150dA_100Mss_NE5X052.txt	366.51	-8.34	180.94	5.54	57041.50	915.25	1.365809e+05	7.570086e+00	6.371896e+00	139.85	1.036301e-07	4393	3.465e-02
135kHz_150dA_100Mss_NE5X053.txt	367.03	-7.98	175.88	5.31	57041.50	926.57	1.365809e+05	7.718159e+00	6.363930e+00	129.82	9.428294e-08	4393	3.515e-02
