# Configuracion:
# Concentracion g/m^3_=_19900.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_136605.12720698066
# 
Resultados:
# tau_s_=_(7.92+/-2.27)e-08
# dphi_rad_=_6.35+/-0.02
# SAR_W/g_=_133.89+/-44.96
# Hc_kA/m_=_5.82+/-0.95
# Mr_A/m_=_310.92+/-94.74
# Suceptibilidad_a_M=0_=_0.0576+/-0.0118
# t_hasta_1er_file_=_109.98
# Duracion_T_Fase_=_65.39
# 1er_file_T_Fase_=_135kHz_150dA_100Mss_NE5X154.txt
# last_file_T_Fase_=_135kHz_150dA_100Mss_NE5X272.txt

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_150dA_100Mss_NE5X011.txt	109.98	-38.22	137.94	4.80	57041.50	911.15	1.366120e+05	7.331923e+00	6.329336e+00	70.55	5.380592e-08	4392	3.101e-02
135kHz_150dA_100Mss_NE5X012.txt	110.49	-37.96	139.78	4.56	57041.50	943.55	1.365809e+05	7.665277e+00	6.325412e+00	67.48	4.922577e-08	4393	3.303e-02
135kHz_150dA_100Mss_NE5X013.txt	111.0	-37.70	145.91	4.70	57041.50	937.78	1.365809e+05	7.630066e+00	6.331970e+00	77.59	5.688170e-08	4393	3.305e-02
135kHz_150dA_100Mss_NE5X014.txt	111.51	-36.68	143.67	4.66	57041.50	941.23	1.366120e+05	7.661129e+00	6.329889e+00	74.60	5.445226e-08	4392	3.332e-02
135kHz_150dA_100Mss_NE5X015.txt	112.05	-35.58	147.29	4.74	57041.50	933.70	1.366120e+05	7.629624e+00	6.334378e+00	81.43	5.969471e-08	4392	3.330e-02
135kHz_150dA_100Mss_NE5X016.txt	112.55	-34.38	138.80	4.50	57041.50	933.56	1.366120e+05	7.595171e+00	6.326088e+00	67.94	5.001482e-08	4392	3.297e-02
135kHz_150dA_100Mss_NE5X017.txt	113.08	-33.04	151.39	4.87	57041.50	915.10	1.365809e+05	7.511076e+00	6.340889e+00	90.33	6.730235e-08	4393	3.306e-02
135kHz_150dA_100Mss_NE5X018.txt	113.59	-31.35	146.44	4.70	57041.50	920.20	1.366120e+05	7.543479e+00	6.335480e+00	82.24	6.098181e-08	4392	3.351e-02
135kHz_150dA_100Mss_NE5X019.txt	114.61	-28.84	152.44	4.86	57041.50	909.97	1.365809e+05	7.492254e+00	6.343529e+00	94.22	7.038980e-08	4393	3.331e-02
135kHz_150dA_100Mss_NE5X020.txt	115.12	-27.90	117.71	3.82	57041.50	941.80	1.365809e+05	7.561036e+00	6.302638e+00	30.67	2.266645e-08	4393	3.313e-02
135kHz_150dA_100Mss_NE5X021.txt	115.63	-27.03	124.50	4.03	57041.50	924.71	1.365809e+05	7.479774e+00	6.311354e+00	43.93	3.282696e-08	4393	3.303e-02
135kHz_150dA_100Mss_NE5X022.txt	116.14	-26.18	130.22	4.17	57041.50	927.98	1.365809e+05	7.539302e+00	6.318358e+00	55.29	4.099552e-08	4393	3.337e-02
135kHz_150dA_100Mss_NE5X023.txt	116.65	-25.36	125.84	4.05	57041.50	930.72	1.365809e+05	7.532745e+00	6.312974e+00	46.79	3.471642e-08	4393	3.334e-02
135kHz_150dA_100Mss_NE5X024.txt	117.16	-24.69	147.82	4.70	57041.50	908.03	1.366120e+05	7.487952e+00	6.340097e+00	88.84	6.637698e-08	4392	3.351e-02
135kHz_150dA_100Mss_NE5X025.txt	117.67	-24.33	132.33	4.25	57041.50	922.67	1.366120e+05	7.518640e+00	6.321922e+00	60.73	4.515293e-08	4392	3.345e-02
135kHz_150dA_100Mss_NE5X026.txt	118.17	-23.84	140.71	4.47	57041.50	915.56	1.366120e+05	7.495385e+00	6.331789e+00	75.96	5.667064e-08	4392	3.332e-02
135kHz_150dA_100Mss_NE5X027.txt	118.68	-23.08	138.66	4.44	57041.50	903.44	1.366120e+05	7.410501e+00	6.330865e+00	73.67	5.559216e-08	4392	3.322e-02
135kHz_150dA_100Mss_NE5X028.txt	119.19	-22.35	134.58	4.30	57041.50	907.24	1.365809e+05	7.423908e+00	6.326050e+00	66.34	4.997054e-08	4393	3.326e-02
135kHz_150dA_100Mss_NE5X029.txt	119.7	-21.69	147.13	4.68	57041.50	890.33	1.366120e+05	7.342828e+00	6.341167e+00	88.75	6.762882e-08	4392	3.333e-02
135kHz_150dA_100Mss_NE5X030.txt	120.22	-21.04	137.88	4.35	57041.50	911.74	1.365809e+05	7.481673e+00	6.329803e+00	72.71	5.435229e-08	4393	3.381e-02
135kHz_150dA_100Mss_NE5X031.txt	120.76	-20.39	120.86	3.88	57041.50	926.01	1.365809e+05	7.500582e+00	6.310321e+00	42.44	3.162269e-08	4393	3.322e-02
135kHz_150dA_100Mss_NE5X032.txt	121.28	-19.74	119.19	3.81	57041.50	930.61	1.365809e+05	7.523312e+00	6.307849e+00	38.69	2.874056e-08	4393	3.350e-02
135kHz_150dA_100Mss_NE5X033.txt	121.8	-19.06	123.99	3.98	57041.50	910.87	1.365809e+05	7.416604e+00	6.314901e+00	49.04	3.696306e-08	4393	3.321e-02
135kHz_150dA_100Mss_NE5X034.txt	122.3	-18.50	111.89	3.62	57041.50	936.90	1.365809e+05	7.544669e+00	6.300690e+00	27.54	2.039634e-08	4393	3.332e-02
135kHz_150dA_100Mss_NE5X035.txt	123.17	-17.70	138.17	4.39	57041.50	899.57	1.366120e+05	7.394084e+00	6.331506e+00	74.49	5.634039e-08	4392	3.347e-02
135kHz_150dA_100Mss_NE5X036.txt	123.67	-17.40	135.46	4.27	57041.50	912.62	1.366120e+05	7.467879e+00	6.327980e+00	69.75	5.222311e-08	4392	3.370e-02
135kHz_150dA_100Mss_NE5X037.txt	124.18	-17.00	111.43	3.59	57041.50	925.07	1.366120e+05	7.454512e+00	6.300300e+00	26.61	1.994203e-08	4392	3.322e-02
135kHz_150dA_100Mss_NE5X038.txt	125.16	-15.89	112.21	3.59	57041.50	937.23	1.365809e+05	7.556627e+00	6.301720e+00	29.21	2.159686e-08	4393	3.363e-02
135kHz_150dA_100Mss_NE5X039.txt	125.68	-15.22	118.54	3.77	57041.50	934.04	1.366120e+05	7.562404e+00	6.308279e+00	39.58	2.924179e-08	4392	3.383e-02
135kHz_150dA_100Mss_NE5X040.txt	126.16	-14.67	120.97	3.85	57041.50	922.83	1.366120e+05	7.485374e+00	6.311718e+00	44.54	3.325066e-08	4392	3.360e-02
135kHz_150dA_100Mss_NE5X041.txt	126.67	-14.26	152.39	4.75	57041.50	883.67	1.365809e+05	7.355151e+00	6.349834e+00	102.15	7.776505e-08	4393	3.391e-02
135kHz_150dA_100Mss_NE5X042.txt	127.16	-13.86	112.87	3.61	57041.50	929.57	1.366120e+05	7.497105e+00	6.302265e+00	29.83	2.223175e-08	4392	3.354e-02
135kHz_150dA_100Mss_NE5X043.txt	127.66	-13.41	124.16	3.90	57041.50	921.97	1.366120e+05	7.507459e+00	6.315208e+00	50.14	3.732156e-08	4392	3.390e-02
135kHz_150dA_100Mss_NE5X044.txt	128.16	-12.99	136.16	4.29	57041.50	899.88	1.366120e+05	7.395846e+00	6.330316e+00	72.68	5.495138e-08	4392	3.374e-02
135kHz_150dA_100Mss_NE5X045.txt	128.66	-12.64	117.37	3.74	57041.50	919.66	1.366120e+05	7.471865e+00	6.308475e+00	39.41	2.947076e-08	4392	3.366e-02
135kHz_150dA_100Mss_NE5X046.txt	129.18	-12.27	159.40	4.93	57041.50	891.88	1.365809e+05	7.417473e+00	6.358653e+00	116.62	8.809045e-08	4393	3.426e-02
135kHz_150dA_100Mss_NE5X047.txt	129.7	-11.91	125.42	3.98	57041.50	911.66	1.366120e+05	7.449328e+00	6.318559e+00	54.95	4.122994e-08	4392	3.357e-02
135kHz_150dA_100Mss_NE5X048.txt	130.21	-11.57	121.51	3.85	57041.50	917.54	1.366120e+05	7.468567e+00	6.313155e+00	46.68	3.492680e-08	4392	3.382e-02
135kHz_150dA_100Mss_NE5X049.txt	130.74	-11.26	126.93	4.05	57041.50	910.99	1.366120e+05	7.439485e+00	6.321671e+00	59.70	4.485960e-08	4392	3.367e-02
135kHz_150dA_100Mss_NE5X050.txt	131.25	-10.92	116.49	3.69	57041.50	921.66	1.366120e+05	7.478426e+00	6.307148e+00	37.37	2.792369e-08	4392	3.381e-02
135kHz_150dA_100Mss_NE5X051.txt	131.75	-10.58	119.16	3.75	57041.50	915.93	1.366120e+05	7.423676e+00	6.309480e+00	40.71	3.064190e-08	4392	3.384e-02
135kHz_150dA_100Mss_NE5X052.txt	132.28	-10.23	122.88	3.87	57041.50	916.71	1.365809e+05	7.468637e+00	6.315107e+00	49.71	3.720324e-08	4393	3.380e-02
135kHz_150dA_100Mss_NE5X053.txt	132.78	-9.93	130.34	4.09	57041.50	913.17	1.365809e+05	7.489763e+00	6.324364e+00	64.30	4.800250e-08	4393	3.407e-02
135kHz_150dA_100Mss_NE5X054.txt	133.29	-9.74	111.52	3.48	57041.50	931.90	1.365809e+05	7.514562e+00	6.299928e+00	26.24	1.950847e-08	4393	3.424e-02
135kHz_150dA_100Mss_NE5X055.txt	133.77	-9.65	115.52	3.64	57041.50	923.01	1.365809e+05	7.478644e+00	6.306099e+00	35.73	2.670088e-08	4393	3.412e-02
135kHz_150dA_100Mss_NE5X056.txt	134.29	-9.31	120.87	3.77	57041.50	922.11	1.366120e+05	7.477257e+00	6.311330e+00	43.89	3.279858e-08	4392	3.421e-02
135kHz_150dA_100Mss_NE5X057.txt	135.33	-8.43	117.42	3.66	57041.50	922.24	1.365809e+05	7.479168e+00	6.307913e+00	38.56	2.881590e-08	4393	3.431e-02
