# Configuracion:
# Concentracion g/m^3_=_19900.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_268067.961785753
# 
Resultados:
# tau_s_=_(1.10+/-0.21)e-07
# dphi_rad_=_6.47+/-0.03
# SAR_W/g_=_465.37+/-117.61
# Hc_kA/m_=_7.72+/-1.32
# Mr_A/m_=_423.50+/-118.17
# Suceptibilidad_a_M=0_=_0.0611+/-0.0103

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
265kHz_100dA_100Mss_NE5X008.txt	27/06/2024 17:30:59	-42.6	247.85	6.17	38460.00	946.98	2.680965e+05	1.566601e+01	6.425693e+00	307.03	8.518068e-08	4476	4.360e-02
265kHz_100dA_100Mss_NE5X009.txt	27/06/2024 17:30:59	-42.6	206.42	5.14	38460.00	1006.56	2.680965e+05	1.614242e+01	6.374429e+00	202.97	5.431919e-08	4476	4.327e-02
265kHz_100dA_100Mss_NE5X010.txt	27/06/2024 17:31:00	-40.9	239.86	5.84	38460.00	978.65	2.680366e+05	1.608251e+01	6.411746e+00	284.47	7.674661e-08	4477	4.450e-02
265kHz_100dA_100Mss_NE5X011.txt	27/06/2024 17:31:00	-40.9	276.32	6.68	38460.00	984.38	2.680366e+05	1.573898e+01	6.455536e+00	372.39	1.033454e-07	4477	4.490e-02
265kHz_100dA_100Mss_NE5X012.txt	27/06/2024 17:31:01	-37.6	229.82	5.59	38460.00	978.28	2.680965e+05	1.601119e+01	6.401947e+00	261.78	7.083896e-08	4476	4.444e-02
265kHz_100dA_100Mss_NE5X013.txt	27/06/2024 17:31:02	-33.4	280.81	6.72	38460.00	994.46	2.680965e+05	1.576553e+01	6.461685e+00	386.28	1.071112e-07	4476	4.508e-02
265kHz_100dA_100Mss_NE5X014.txt	27/06/2024 17:31:02	-33.4	257.96	6.22	38460.00	967.68	2.680965e+05	1.576474e+01	6.436632e+00	332.51	9.181923e-08	4476	4.487e-02
265kHz_100dA_100Mss_NE5X015.txt	27/06/2024 17:31:03	-27.8	284.68	6.82	38460.00	987.92	2.680965e+05	1.553178e+01	6.469505e+00	397.03	1.119102e-07	4476	4.515e-02
265kHz_100dA_100Mss_NE5X016.txt	27/06/2024 17:31:03	-27.8	262.48	6.31	38460.00	969.12	2.680366e+05	1.564092e+01	6.443729e+00	344.95	9.613876e-08	4477	4.483e-02
265kHz_100dA_100Mss_NE5X017.txt	27/06/2024 17:31:04	-24.5	253.47	6.09	38460.00	963.39	2.680366e+05	1.570269e+01	6.433428e+00	324.26	8.987206e-08	4477	4.485e-02
265kHz_100dA_100Mss_NE5X018.txt	27/06/2024 17:31:04	-24.5	247.41	5.96	38460.00	953.30	2.680965e+05	1.565296e+01	6.427579e+00	310.81	8.632331e-08	4476	4.468e-02
265kHz_100dA_100Mss_NE5X019.txt	27/06/2024 17:31:05	-21.8	222.33	5.39	38460.00	954.90	2.680366e+05	1.571815e+01	6.399731e+00	252.16	6.950531e-08	4477	4.423e-02
265kHz_100dA_100Mss_NE5X020.txt	27/06/2024 17:31:06	-19.2	242.58	5.83	38460.00	948.11	2.680366e+05	1.558650e+01	6.423444e+00	300.62	8.381922e-08	4477	4.478e-02
265kHz_100dA_100Mss_NE5X021.txt	27/06/2024 17:31:06	-19.2	221.36	5.36	38460.00	954.08	2.680366e+05	1.569456e+01	6.398938e+00	250.08	6.902804e-08	4477	4.453e-02
265kHz_100dA_100Mss_NE5X022.txt	27/06/2024 17:31:07	-17.0	267.78	6.38	38460.00	971.09	2.680366e+05	1.543496e+01	6.453948e+00	361.87	1.023752e-07	4477	4.502e-02
265kHz_100dA_100Mss_NE5X023.txt	27/06/2024 17:31:07	-17.0	245.81	5.83	38460.00	957.22	2.680366e+05	1.564951e+01	6.426212e+00	307.75	8.549610e-08	4477	4.526e-02
265kHz_100dA_100Mss_NE5X024.txt	27/06/2024 17:31:08	-14.8	220.92	5.32	38460.00	948.13	2.680366e+05	1.564804e+01	6.399742e+00	251.06	6.951238e-08	4477	4.449e-02
265kHz_100dA_100Mss_NE5X025.txt	27/06/2024 17:31:08	-14.8	236.34	5.63	38460.00	948.38	2.680366e+05	1.568987e+01	6.416941e+00	288.67	7.988458e-08	4477	4.501e-02
