# Configuracion:
# Concentracion g/m^3_=_19900.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_268271.1260388271
# 
Resultados:
# tau_s_=_(1.28+/-0.17)e-07
# dphi_rad_=_6.50+/-0.03
# SAR_W/g_=_149.52+/-31.57
# Hc_kA/m_=_4.53+/-0.57
# Mr_A/m_=_195.93+/-46.14
# Suceptibilidad_a_M=0_=_0.0464+/-0.0072

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
265kHz_050dA_100Mss_NE5X011.txt	03/07/2024 12:09:54	-51.2	129.93	4.10	19878.50	510.05	2.682763e+05	8.081704e+00	6.472863e+00	108.75	1.139031e-07	4473	3.375e-02
265kHz_050dA_100Mss_NE5X012.txt	03/07/2024 12:09:55	-49.3	131.76	4.12	19878.50	512.40	2.682164e+05	8.135022e+00	6.474849e+00	110.58	1.151253e-07	4474	3.404e-02
265kHz_050dA_100Mss_NE5X013.txt	03/07/2024 12:09:55	-49.3	129.36	4.05	19878.50	513.06	2.682763e+05	8.127383e+00	6.470231e+00	107.87	1.122845e-07	4473	3.395e-02
265kHz_050dA_100Mss_NE5X014.txt	03/07/2024 12:09:56	-46.7	130.22	4.06	19878.50	512.91	2.682164e+05	8.138419e+00	6.471416e+00	108.67	1.130125e-07	4474	3.418e-02
265kHz_050dA_100Mss_NE5X015.txt	03/07/2024 12:09:56	-46.7	130.92	4.07	19878.50	511.55	2.682763e+05	8.127320e+00	6.472986e+00	109.44	1.139777e-07	4473	3.418e-02
265kHz_050dA_100Mss_NE5X016.txt	03/07/2024 12:09:57	-43.9	129.15	4.01	19878.50	514.61	2.682763e+05	8.160535e+00	6.468288e+00	107.20	1.110910e-07	4473	3.424e-02
265kHz_050dA_100Mss_NE5X017.txt	03/07/2024 12:09:57	-43.9	129.58	4.01	19878.50	513.45	2.682763e+05	8.155158e+00	6.469654e+00	107.91	1.119306e-07	4473	3.438e-02
265kHz_050dA_100Mss_NE5X018.txt	03/07/2024 12:09:58	-41.1	128.10	3.98	19878.50	512.41	2.682763e+05	8.132399e+00	6.466990e+00	106.09	1.102940e-07	4473	3.425e-02
265kHz_050dA_100Mss_NE5X019.txt	03/07/2024 12:09:59	-37.3	128.36	3.96	19878.50	513.47	2.682164e+05	8.161023e+00	6.466565e+00	106.19	1.100326e-07	4474	3.440e-02
265kHz_050dA_100Mss_NE5X020.txt	03/07/2024 12:10:00	-37.3	128.22	3.94	19878.50	514.34	2.682763e+05	8.172873e+00	6.465940e+00	106.01	1.096493e-07	4473	3.455e-02
265kHz_050dA_100Mss_NE5X021.txt	03/07/2024 12:10:01	-35.0	125.84	3.87	19878.50	515.48	2.682164e+05	8.179378e+00	6.460948e+00	103.20	1.065892e-07	4474	3.439e-02
265kHz_050dA_100Mss_NE5X022.txt	03/07/2024 12:10:02	-31.9	125.95	3.87	19878.50	513.62	2.682763e+05	8.157555e+00	6.461732e+00	103.40	1.070709e-07	4473	3.453e-02
265kHz_050dA_100Mss_NE5X023.txt	03/07/2024 12:10:02	-31.9	126.59	3.87	19878.50	516.12	2.682763e+05	8.198018e+00	6.461781e+00	103.94	1.070998e-07	4473	3.464e-02
