# Configuracion:
# Concentracion g/m^3_=_19900.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_268341.7797237311
# 
Resultados:
# tau_s_=_(4.97+/-0.87)e-08
# dphi_rad_=_6.37+/-0.01
# SAR_W/g_=_346.82+/-87.65
# Hc_kA/m_=_6.38+/-1.01
# Mr_A/m_=_347.94+/-109.19
# Suceptibilidad_a_M=0_=_0.0595+/-0.0138
# t_hasta_1er_file_=_154.82
# Duracion_T_Fase_=_41.16
# 1er_file_T_Fase_=_265kHz_150dA_100Mss_NE5X064.txt
# last_file_T_Fase_=_265kHz_150dA_100Mss_NE5X139.txt

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
265kHz_150dA_100Mss_NE5X011.txt	154.82	-35.63	160.71	5.11	57041.50	994.28	2.683363e+05	1.642500e+01	6.348816e+00	220.66	3.898187e-08	4472	3.318e-02
265kHz_150dA_100Mss_NE5X012.txt	155.3	-34.27	160.48	5.10	57041.50	992.13	2.683363e+05	1.639431e+01	6.349109e+00	221.23	3.915625e-08	4472	3.313e-02
265kHz_150dA_100Mss_NE5X013.txt	155.82	-32.66	158.71	5.02	57041.50	992.74	2.683363e+05	1.640542e+01	6.347555e+00	216.17	3.823145e-08	4472	3.338e-02
265kHz_150dA_100Mss_NE5X014.txt	156.34	-31.05	157.23	5.01	57041.50	984.09	2.683363e+05	1.626473e+01	6.347300e+00	213.47	3.807975e-08	4472	3.292e-02
265kHz_150dA_100Mss_NE5X015.txt	156.85	-29.47	156.46	4.97	57041.50	984.00	2.683363e+05	1.626902e+01	6.347170e+00	213.09	3.800242e-08	4472	3.300e-02
265kHz_150dA_100Mss_NE5X016.txt	157.36	-27.88	154.17	4.92	57041.50	968.62	2.683363e+05	1.603814e+01	6.346149e+00	206.72	3.739436e-08	4472	3.283e-02
265kHz_150dA_100Mss_NE5X017.txt	157.87	-26.30	153.00	4.89	57041.50	966.79	2.683363e+05	1.601310e+01	6.345427e+00	204.04	3.696398e-08	4472	3.282e-02
265kHz_150dA_100Mss_NE5X018.txt	158.61	-24.37	152.82	4.86	57041.50	966.43	2.683363e+05	1.601914e+01	6.345722e+00	205.08	3.713969e-08	4472	3.288e-02
265kHz_150dA_100Mss_NE5X019.txt	159.65	-22.55	150.82	4.77	57041.50	960.87	2.683363e+05	1.594610e+01	6.344407e+00	199.86	3.635672e-08	4472	3.303e-02
265kHz_150dA_100Mss_NE5X020.txt	160.16	-21.75	150.03	4.78	57041.50	956.06	2.683363e+05	1.586690e+01	6.344534e+00	199.28	3.643232e-08	4472	3.285e-02
265kHz_150dA_100Mss_NE5X021.txt	160.7	-20.56	149.63	4.74	57041.50	959.57	2.683363e+05	1.592391e+01	6.344153e+00	198.75	3.620583e-08	4472	3.297e-02
265kHz_150dA_100Mss_NE5X022.txt	161.21	-19.48	148.88	4.73	57041.50	957.81	2.683363e+05	1.589211e+01	6.344126e+00	198.27	3.619012e-08	4472	3.299e-02
265kHz_150dA_100Mss_NE5X023.txt	161.82	-18.26	147.70	4.67	57041.50	953.65	2.683363e+05	1.583750e+01	6.342785e+00	193.24	3.539184e-08	4472	3.311e-02
265kHz_150dA_100Mss_NE5X024.txt	162.34	-17.25	147.09	4.65	57041.50	952.93	2.683363e+05	1.583116e+01	6.342680e+00	192.83	3.532918e-08	4472	3.293e-02
265kHz_150dA_100Mss_NE5X025.txt	162.86	-16.27	147.02	4.64	57041.50	953.49	2.683363e+05	1.584266e+01	6.342694e+00	193.01	3.533715e-08	4472	3.317e-02
265kHz_150dA_100Mss_NE5X026.txt	163.37	-15.11	145.99	4.58	57041.50	955.29	2.683363e+05	1.587541e+01	6.341456e+00	189.39	3.459996e-08	4472	3.333e-02
265kHz_150dA_100Mss_NE5X027.txt	163.86	-13.94	146.59	4.63	57041.50	949.28	2.683363e+05	1.578471e+01	6.343115e+00	193.67	3.558747e-08	4472	3.306e-02
265kHz_150dA_100Mss_NE5X028.txt	164.37	-13.04	145.31	4.52	57041.50	960.75	2.683363e+05	1.596461e+01	6.340598e+00	187.66	3.408960e-08	4472	3.352e-02
265kHz_150dA_100Mss_NE5X029.txt	164.88	-12.28	144.36	4.54	57041.50	953.63	2.683363e+05	1.584385e+01	6.340718e+00	186.62	3.416112e-08	4472	3.332e-02
265kHz_150dA_100Mss_NE5X030.txt	165.4	-11.58	145.15	4.59	57041.50	951.24	2.683363e+05	1.580545e+01	6.342219e+00	191.02	3.505494e-08	4472	3.305e-02
265kHz_150dA_100Mss_NE5X031.txt	165.92	-10.90	144.31	4.54	57041.50	957.38	2.683363e+05	1.589802e+01	6.340781e+00	187.47	3.419918e-08	4472	3.313e-02
265kHz_150dA_100Mss_NE5X032.txt	166.5	-10.15	144.11	4.54	57041.50	949.70	2.683363e+05	1.579314e+01	6.341228e+00	187.67	3.446508e-08	4472	3.325e-02
265kHz_150dA_100Mss_NE5X033.txt	167.01	-9.49	144.12	4.52	57041.50	956.19	2.683363e+05	1.589137e+01	6.340997e+00	188.09	3.432736e-08	4472	3.339e-02
265kHz_150dA_100Mss_NE5X034.txt	167.54	-8.91	143.59	4.49	57041.50	953.41	2.683363e+05	1.585343e+01	6.340035e+00	184.52	3.375487e-08	4472	3.327e-02
