# Configuracion:
# Concentracion g/m^3_=_19900.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_136221.50806593357
# 
Resultados:
# tau_s_=_(1.55+/-0.29)e-07
# dphi_rad_=_6.41+/-0.02
# SAR_W/g_=_150.55+/-40.42
# Hc_kA/m_=_5.84+/-1.03
# Mr_A/m_=_307.17+/-98.17
# Suceptibilidad_a_M=0_=_0.0558+/-0.0121
# t_hasta_1er_file_=_134.04
# Duracion_T_Fase_=_56.76
# 1er_file_T_Fase_=_135kHz_100dA_100Mss_NE5X183.txt
# last_file_T_Fase_=_135kHz_100dA_100Mss_NE5X287.txt

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_100dA_100Mss_NE5X008.txt	137.69	-39.25	147.18	5.07	38460.00	712.47	1.362398e+05	5.749766e+00	6.401193e+00	94.94	1.385006e-07	4404	3.021e-02
135kHz_100dA_100Mss_NE5X009.txt	138.21	-38.66	149.93	4.66	38460.00	804.09	1.362398e+05	6.474818e+00	6.386465e+00	93.62	1.210836e-07	4404	3.348e-02
135kHz_100dA_100Mss_NE5X010.txt	138.74	-37.82	152.04	4.68	38460.00	807.02	1.362398e+05	6.512690e+00	6.388251e+00	95.79	1.231921e-07	4404	3.374e-02
135kHz_100dA_100Mss_NE5X011.txt	139.24	-36.85	149.19	4.65	38460.00	798.72	1.362398e+05	6.436662e+00	6.386209e+00	92.84	1.207804e-07	4404	3.339e-02
135kHz_100dA_100Mss_NE5X012.txt	139.73	-35.72	147.11	4.56	38460.00	801.18	1.362398e+05	6.446363e+00	6.382938e+00	90.04	1.169183e-07	4404	3.345e-02
135kHz_100dA_100Mss_NE5X013.txt	140.24	-34.19	149.40	4.63	38460.00	801.14	1.362398e+05	6.472905e+00	6.386867e+00	93.96	1.215562e-07	4404	3.358e-02
135kHz_100dA_100Mss_NE5X014.txt	140.76	-32.21	146.89	4.53	38460.00	801.85	1.362398e+05	6.460353e+00	6.383045e+00	90.33	1.170476e-07	4404	3.364e-02
135kHz_100dA_100Mss_NE5X015.txt	141.28	-30.63	149.62	4.59	38460.00	799.03	1.362398e+05	6.459797e+00	6.387429e+00	94.27	1.222218e-07	4404	3.384e-02
135kHz_100dA_100Mss_NE5X016.txt	141.78	-29.43	149.22	4.59	38460.00	800.31	1.362398e+05	6.455402e+00	6.387476e+00	94.25	1.222761e-07	4404	3.372e-02
135kHz_100dA_100Mss_NE5X017.txt	142.29	-28.29	148.28	4.58	38460.00	794.19	1.362398e+05	6.412075e+00	6.387475e+00	93.62	1.222750e-07	4404	3.360e-02
135kHz_100dA_100Mss_NE5X018.txt	142.88	-27.05	146.33	4.50	38460.00	793.60	1.362398e+05	6.424575e+00	6.384335e+00	90.99	1.185681e-07	4404	3.394e-02
135kHz_100dA_100Mss_NE5X019.txt	143.89	-25.11	142.81	4.40	38460.00	793.00	1.362398e+05	6.406633e+00	6.380666e+00	87.45	1.142380e-07	4404	3.369e-02
135kHz_100dA_100Mss_NE5X020.txt	144.39	-24.32	143.93	4.40	38460.00	794.19	1.362398e+05	6.425927e+00	6.381584e+00	88.54	1.153223e-07	4404	3.401e-02
135kHz_100dA_100Mss_NE5X021.txt	144.88	-23.58	141.95	4.34	38460.00	798.79	1.362398e+05	6.452808e+00	6.379822e+00	87.32	1.132448e-07	4404	3.400e-02
135kHz_100dA_100Mss_NE5X022.txt	145.38	-22.83	144.70	4.43	38460.00	787.30	1.362398e+05	6.387689e+00	6.384382e+00	90.51	1.186251e-07	4404	3.393e-02
135kHz_100dA_100Mss_NE5X023.txt	145.89	-22.07	141.14	4.31	38460.00	794.37	1.362398e+05	6.427646e+00	6.379014e+00	86.26	1.122893e-07	4404	3.406e-02
