# Configuracion:
# Concentracion g/m^3_=_19900.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_136610.8529971818
# 
Resultados:
# tau_s_=_(9.18+/-2.11)e-08
# dphi_rad_=_6.36+/-0.02
# SAR_W/g_=_164.04+/-42.94
# Hc_kA/m_=_6.05+/-0.92
# Mr_A/m_=_338.32+/-86.08
# Suceptibilidad_a_M=0_=_0.0611+/-0.0094
# t_hasta_1er_file_=_121.95
# Duracion_T_Fase_=_60.6
# 1er_file_T_Fase_=_135kHz_150dA_100Mss_NE5X182.txt
# last_file_T_Fase_=_135kHz_150dA_100Mss_NE5X294.txt

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_150dA_100Mss_NE5X010.txt	121.95	-41.01	233.81	5.89	57041.50	1072.90	1.366120e+05	8.952328e+00	6.373171e+00	167.80	1.051181e-07	4392	4.315e-02
135kHz_150dA_100Mss_NE5X011.txt	122.46	-39.70	207.79	5.19	57041.50	1083.13	1.366120e+05	9.025568e+00	6.345976e+00	118.13	7.324953e-08	4392	4.286e-02
135kHz_150dA_100Mss_NE5X012.txt	122.99	-38.33	194.21	4.86	57041.50	1084.14	1.366120e+05	9.008327e+00	6.333177e+00	93.89	5.829069e-08	4392	4.304e-02
135kHz_150dA_100Mss_NE5X013.txt	123.51	-37.18	225.49	5.57	57041.50	1075.92	1.366120e+05	9.028368e+00	6.365326e+00	154.51	9.591346e-08	4392	4.363e-02
135kHz_150dA_100Mss_NE5X014.txt	124.03	-36.03	226.68	5.62	57041.50	1058.47	1.366120e+05	8.917039e+00	6.367869e+00	157.32	9.889581e-08	4392	4.334e-02
135kHz_150dA_100Mss_NE5X015.txt	124.61	-34.76	219.39	5.43	57041.50	1056.99	1.366120e+05	8.937632e+00	6.360689e+00	144.34	9.047604e-08	4392	4.339e-02
135kHz_150dA_100Mss_NE5X016.txt	125.12	-33.65	212.71	5.26	57041.50	1062.18	1.366120e+05	8.954399e+00	6.354342e+00	132.79	8.304019e-08	4392	4.337e-02
135kHz_150dA_100Mss_NE5X017.txt	125.65	-32.53	214.98	5.35	57041.50	1056.74	1.366120e+05	8.923896e+00	6.358463e+00	139.98	8.786577e-08	4392	4.293e-02
135kHz_150dA_100Mss_NE5X018.txt	126.16	-31.51	199.13	4.91	57041.50	1073.75	1.366120e+05	9.000353e+00	6.341924e+00	110.21	6.851197e-08	4392	4.367e-02
135kHz_150dA_100Mss_NE5X019.txt	127.22	-29.63	196.31	4.83	57041.50	1073.83	1.366120e+05	8.963697e+00	6.339291e+00	104.84	6.543415e-08	4392	4.328e-02
135kHz_150dA_100Mss_NE5X020.txt	127.75	-28.72	216.20	5.29	57041.50	1050.45	1.365809e+05	8.889811e+00	6.361582e+00	145.18	9.152281e-08	4393	4.360e-02
135kHz_150dA_100Mss_NE5X021.txt	128.26	-28.30	186.77	4.62	57041.50	1069.58	1.365809e+05	8.899762e+00	6.332341e+00	91.19	5.731454e-08	4393	4.310e-02
135kHz_150dA_100Mss_NE5X022.txt	128.78	-28.30	194.00	4.82	57041.50	1062.15	1.366120e+05	8.891837e+00	6.340401e+00	106.06	6.673151e-08	4392	4.339e-02
135kHz_150dA_100Mss_NE5X023.txt	129.29	-27.92	211.07	5.21	57041.50	1035.77	1.366120e+05	8.791205e+00	6.358475e+00	137.92	8.788050e-08	4392	4.324e-02
135kHz_150dA_100Mss_NE5X024.txt	129.81	-27.25	176.75	4.39	57041.50	1079.48	1.366120e+05	8.949964e+00	6.323302e+00	74.87	4.676236e-08	4392	4.308e-02
135kHz_150dA_100Mss_NE5X025.txt	130.34	-26.46	178.20	4.40	57041.50	1083.31	1.366120e+05	8.991036e+00	6.325342e+00	79.03	4.914339e-08	4392	4.376e-02
135kHz_150dA_100Mss_NE5X026.txt	130.84	-25.66	186.25	4.64	57041.50	1065.32	1.365809e+05	8.851395e+00	6.335696e+00	96.88	6.123433e-08	4393	4.328e-02
135kHz_150dA_100Mss_NE5X027.txt	131.36	-24.75	176.36	4.36	57041.50	1070.12	1.366120e+05	8.867291e+00	6.324452e+00	76.30	4.810389e-08	4392	4.318e-02
135kHz_150dA_100Mss_NE5X028.txt	131.87	-23.83	177.59	4.36	57041.50	1074.12	1.366120e+05	8.937610e+00	6.325634e+00	79.11	4.948440e-08	4392	4.387e-02
135kHz_150dA_100Mss_NE5X029.txt	132.43	-23.04	163.76	4.08	57041.50	1078.20	1.365809e+05	8.899167e+00	6.313252e+00	55.79	3.503917e-08	4393	4.316e-02
135kHz_150dA_100Mss_NE5X030.txt	132.97	-22.34	179.86	4.42	57041.50	1066.84	1.366120e+05	8.895347e+00	6.328290e+00	83.66	5.258388e-08	4392	4.357e-02
135kHz_150dA_100Mss_NE5X031.txt	133.55	-21.69	206.50	5.07	57041.50	1035.73	1.366120e+05	8.748560e+00	6.357151e+00	134.85	8.632880e-08	4392	4.335e-02
135kHz_150dA_100Mss_NE5X032.txt	134.06	-21.13	185.51	4.53	57041.50	1068.99	1.366120e+05	8.901778e+00	6.335028e+00	96.22	6.045264e-08	4392	4.390e-02
135kHz_150dA_100Mss_NE5X033.txt	134.59	-20.55	195.88	4.82	57041.50	1047.01	1.366120e+05	8.830725e+00	6.346393e+00	116.35	7.373738e-08	4392	4.328e-02
135kHz_150dA_100Mss_NE5X034.txt	135.11	-19.99	195.87	4.80	57041.50	1039.87	1.365809e+05	8.783685e+00	6.346704e+00	116.27	7.410132e-08	4393	4.337e-02
135kHz_150dA_100Mss_NE5X035.txt	135.6	-19.50	182.07	4.48	57041.50	1056.20	1.365809e+05	8.830969e+00	6.333641e+00	92.88	5.883265e-08	4393	4.363e-02
135kHz_150dA_100Mss_NE5X036.txt	136.11	-19.00	174.74	4.24	57041.50	1067.02	1.366120e+05	8.888660e+00	6.323946e+00	75.55	4.751382e-08	4392	4.394e-02
135kHz_150dA_100Mss_NE5X037.txt	136.63	-18.53	201.22	4.82	57041.50	1051.15	1.366120e+05	8.869912e+00	6.351732e+00	126.72	7.998467e-08	4392	4.447e-02
135kHz_150dA_100Mss_NE5X038.txt	137.68	-17.59	196.85	4.79	57041.50	1066.63	1.366120e+05	8.916299e+00	6.348581e+00	121.53	7.629621e-08	4392	4.400e-02
